year,name,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6,p7,v7,p8,v8,p9,v9,p10,v10,p11,v11,p12,v12,p13,v13,p14,v14,p15,v15,p16,v16,p17,v17,p18,v18,p19,v19,p20,v20,p21,v21,p22,v22
80,惡性腫瘤,澎湖縣,0.000618151,臺東縣,0.000551024,嘉義縣,0.000485782,花蓮縣,0.000480919,宜蘭縣,0.000438553,新竹縣,0.000429577,屏東縣,0.00041956,雲林縣,0.000416606,苗栗縣,0.000415596,南投縣,0.000376476,臺南市,0.000369769,基隆市,0.000365277,彰化縣,0.000359073,臺中市,0.000290145,高雄市,0.000261412,桃園縣,0.000210805,新北市,0.000182212,臺北市,0.000135812,嘉義市,0.000116069,新竹市,9.12E-05,,,,
81,惡性腫瘤,澎湖縣,0.0007467,臺東縣,0.000606981,花蓮縣,0.00051461,嘉義縣,0.000513852,苗栗縣,0.000478722,屏東縣,0.000463676,雲林縣,0.000447044,宜蘭縣,0.000446529,新竹縣,0.000433015,南投縣,0.000414826,基隆市,0.000414485,彰化縣,0.000385299,臺南市,0.000382475,臺中市,0.000279295,高雄市,0.000259355,新竹市,0.000222418,桃園縣,0.000203455,嘉義市,0.000197141,新北市,0.00017993,臺北市,0.000132044,,,,
82,惡性腫瘤,臺東縣,0.000614395,澎湖縣,0.000598187,花蓮縣,0.000561066,嘉義縣,0.000534734,屏東縣,0.000503074,雲林縣,0.000485608,苗栗縣,0.000458478,宜蘭縣,0.000436748,南投縣,0.000428616,基隆市,0.000415936,新竹縣,0.000407094,彰化縣,0.00038943,臺南市,0.000380223,臺中市,0.00028336,高雄市,0.000267092,新竹市,0.000238479,桃園縣,0.000200941,嘉義市,0.00019335,新北市,0.000181219,臺北市,0.000135683,,,,
83,惡性腫瘤,連江縣,0.002694934,金門縣,0.000838421,澎湖縣,0.000744778,臺東縣,0.000662152,嘉義縣,0.000539599,雲林縣,0.000512078,屏東縣,0.000501589,花蓮縣,0.000496864,宜蘭縣,0.000481268,苗栗縣,0.000463999,新竹縣,0.000453653,基隆市,0.000409881,彰化縣,0.000397254,臺南市,0.000392213,南投縣,0.000388214,臺中市,0.000279761,高雄市,0.000266961,新竹市,0.000215887,嘉義市,0.000211239,桃園縣,0.000204184,新北市,0.000177261,臺北市,0.000139434
84,惡性腫瘤,連江縣,0.00239071,澎湖縣,0.000835743,臺東縣,0.000690676,嘉義縣,0.000560265,花蓮縣,0.00052649,雲林縣,0.000523874,新竹縣,0.000499294,屏東縣,0.000493506,苗栗縣,0.000489174,宜蘭縣,0.000477375,金門縣,0.000452645,南投縣,0.000437315,基隆市,0.000417603,臺南市,0.000403665,彰化縣,0.000395049,高雄市,0.000276723,臺中市,0.000274264,新竹市,0.00022924,嘉義市,0.000218064,桃園縣,0.000211407,新北市,0.000179089,臺北市,0.000137113
85,惡性腫瘤,連江縣,0.001814882,澎湖縣,0.00087693,金門縣,0.000852442,臺東縣,0.000630341,嘉義縣,0.000555065,花蓮縣,0.000554843,雲林縣,0.000539587,屏東縣,0.00053678,苗栗縣,0.000519551,宜蘭縣,0.000481596,新竹縣,0.000456597,南投縣,0.000437996,基隆市,0.000428726,臺南市,0.00042057,彰化縣,0.000412385,臺中市,0.000291263,高雄市,0.000281253,嘉義市,0.00022065,新竹市,0.000213901,桃園縣,0.000211404,新北市,0.0001821,臺北市,0.000140479
86,惡性腫瘤,金門縣,0.00095928,連江縣,0.000831453,澎湖縣,0.000822648,臺東縣,0.000671931,花蓮縣,0.000597637,嘉義縣,0.000578795,雲林縣,0.000555915,屏東縣,0.000504507,新竹縣,0.000493217,苗栗縣,0.000488985,宜蘭縣,0.00046292,南投縣,0.000457283,基隆市,0.00042966,臺南市,0.000429108,彰化縣,0.000420283,高雄市,0.000281981,臺中市,0.000280884,新竹市,0.000224559,嘉義市,0.000213072,桃園縣,0.000207007,新北市,0.000184474,臺北市,0.000137772
87,惡性腫瘤,連江縣,0.001051841,澎湖縣,0.000938936,金門縣,0.000900901,臺東縣,0.000712179,花蓮縣,0.000572068,嘉義縣,0.000562103,屏東縣,0.000530454,雲林縣,0.000524703,苗栗縣,0.000523347,新竹縣,0.000475432,宜蘭縣,0.000474629,南投縣,0.000461645,臺南市,0.000411064,彰化縣,0.000404928,基隆市,0.000389932,高雄市,0.000289287,臺中市,0.000283395,嘉義市,0.000224292,新竹市,0.000199302,桃園縣,0.000195641,新北市,0.000174296,臺北市,0.000133336
88,惡性腫瘤,連江縣,0.001371951,金門縣,0.001237169,澎湖縣,0.000808871,臺東縣,0.000749592,嘉義縣,0.000611379,雲林縣,0.000573541,花蓮縣,0.000567917,屏東縣,0.000545646,苗栗縣,0.000487671,新竹縣,0.00047952,宜蘭縣,0.000473114,南投縣,0.000462214,彰化縣,0.000420483,臺南市,0.000411621,基隆市,0.000402387,高雄市,0.000286416,臺中市,0.000279522,新竹市,0.000226546,嘉義市,0.00020369,桃園縣,0.000198073,新北市,0.00018058,臺北市,0.00013251
89,惡性腫瘤,連江縣,0.001930789,金門縣,0.000965968,澎湖縣,0.000916242,臺東縣,0.000754142,嘉義縣,0.000599319,花蓮縣,0.000574046,雲林縣,0.000554234,屏東縣,0.000549311,苗栗縣,0.000546719,宜蘭縣,0.000500875,新竹縣,0.000484407,南投縣,0.000470882,彰化縣,0.000431886,臺南市,0.000415776,基隆市,0.000396473,高雄市,0.000283642,臺中市,0.000276818,新竹市,0.000225275,嘉義市,0.000217895,桃園縣,0.000199121,新北市,0.000174381,臺北市,0.000139053
90,惡性腫瘤,連江縣,0.001920687,金門縣,0.001000737,澎湖縣,0.000845364,臺東縣,0.000763509,花蓮縣,0.000620152,嘉義縣,0.000601741,屏東縣,0.000574028,雲林縣,0.000568883,苗栗縣,0.000554723,新竹縣,0.00048622,宜蘭縣,0.000485188,南投縣,0.000452181,彰化縣,0.000430748,臺南市,0.000422022,基隆市,0.000411801,高雄市,0.000281173,臺中市,0.000264686,嘉義市,0.000213489,新竹市,0.000211628,桃園縣,0.000189454,新北市,0.000177827,臺北市,0.000137824
91,惡性腫瘤,金門縣,0.001170821,連江縣,0.001141162,澎湖縣,0.000897821,臺東縣,0.000733712,花蓮縣,0.00059349,屏東縣,0.000587081,雲林縣,0.000578893,嘉義縣,0.000577887,苗栗縣,0.000551032,宜蘭縣,0.00051392,新竹縣,0.000468323,南投縣,0.00046001,臺南市,0.000434509,彰化縣,0.000421675,基隆市,0.000413846,高雄市,0.000285464,臺中市,0.000271079,嘉義市,0.000202318,新竹市,0.000192715,桃園縣,0.000187437,新北市,0.000177402,臺北市,0.000135511
92,惡性腫瘤,連江縣,0.001135589,金門縣,0.000983881,澎湖縣,0.000943059,臺東縣,0.000807109,花蓮縣,0.000632216,嘉義縣,0.000620974,屏東縣,0.000579792,雲林縣,0.000560431,苗栗縣,0.000550897,宜蘭縣,0.000513723,南投縣,0.000482978,新竹縣,0.000463762,彰化縣,0.000424629,臺南市,0.000413152,基隆市,0.000395164,高雄市,0.000299619,臺中市,0.000274729,新竹市,0.000214157,嘉義市,0.000196592,桃園縣,0.000182759,新北市,0.000176797,臺北市,0.000138226
93,惡性腫瘤,連江縣,0.00106849,澎湖縣,0.000991199,金門縣,0.000882501,臺東縣,0.000861162,花蓮縣,0.000644424,嘉義縣,0.00062668,屏東縣,0.000623196,雲林縣,0.000586342,苗栗縣,0.000567206,宜蘭縣,0.000525649,新竹縣,0.000482578,南投縣,0.000481043,彰化縣,0.000432121,臺南市,0.000409547,基隆市,0.000377227,高雄市,0.000288923,臺中市,0.000271943,嘉義市,0.000210845,新竹市,0.000209329,桃園縣,0.000184563,新北市,0.000172325,臺北市,0.000142232
94,惡性腫瘤,連江縣,0.001353311,金門縣,0.001053171,澎湖縣,0.00087578,臺東縣,0.000778428,花蓮縣,0.000632403,嘉義縣,0.000620391,屏東縣,0.00058889,苗栗縣,0.000587559,雲林縣,0.000578184,宜蘭縣,0.000519946,南投縣,0.000470002,新竹縣,0.000453137,基隆市,0.000433976,彰化縣,0.000422548,臺南市,0.000418698,高雄市,0.00029163,臺中市,0.000271606,嘉義市,0.000202428,新竹市,0.000202205,桃園縣,0.000191457,新北市,0.000176628,臺北市,0.000142181
95,惡性腫瘤,連江縣,0.002043736,金門縣,0.001032801,澎湖縣,0.000936972,臺東縣,0.000868802,嘉義縣,0.000633756,雲林縣,0.000602616,屏東縣,0.000592025,花蓮縣,0.000582097,苗栗縣,0.000548228,南投縣,0.000517559,宜蘭縣,0.000482162,新竹縣,0.000439703,基隆市,0.000435191,彰化縣,0.000430407,臺南市,0.00040713,高雄市,0.000289836,臺中市,0.000266349,嘉義市,0.000216622,新竹市,0.000207723,新北市,0.000172327,桃園縣,0.000172147,臺北市,0.000133346
